Date,Open,High,Low,Close,Volume
2015-02-06,154.32,154.76,150.6,151.4,3242714
2015-02-09,150.0,151.83,149.2,150.01,3236388
2015-02-10,150.5,152.63,149.05,152.57,4108620
2015-02-11,153.3,155.24,152.27,153.11,3998663
2015-02-12,154.83,154.83,151.12,153.18,2935775
2015-02-13,153.62,153.81,150.21,153.48,3592054
2015-02-17,153.52,154.85,153.0,154.24,3895609
2015-02-18,154.22,156.23,153.64,155.78,3297879
2015-02-19,155.97,156.42,155.04,156.05,3913882
2015-02-20,156.43,157.75,155.06,157.66,4411081
2015-02-23,158.07,159.2,157.81,158.42,3094261
2015-02-24,159.0,159.11,156.25,157.37,2060548
2015-02-25,157.76,158.78,155.74,158.08,3262822
2015-02-26,158.48,159.4,156.0,158.97,3379767
2015-02-27,159.1,159.24,157.2,157.72,2471953
2015-03-02,159.29,159.9,157.62,159.63,3483532
2015-03-03,159.4,159.4,157.51,158.56,2334873
2015-03-04,158.05,159.74,156.81,159.19,3098640
2015-03-05,160.0,161.48,158.86,159.6,2470899
2015-03-06,158.5,159.92,154.0,154.88,4091352
2015-03-09,154.85,155.74,152.78,155.01,2134997
2015-03-10,152.87,155.63,152.29,153.58,3509639
2015-03-11,154.12,154.27,152.42,152.7,2487097
2015-03-12,154.26,154.77,152.95,154.25,1889403
2015-03-13,153.28,154.75,152.58,154.26,2737945
2015-03-16,157.73,163.2,156.74,163.03,5201626
2015-03-17,162.25,163.76,161.74,163.07,2620805
2015-03-18,162.97,167.6,161.83,166.54,3690084
2015-03-19,167.67,169.22,166.97,169.11,3756562
2015-03-20,170.4,172.36,168.51,170.1,9040559
2015-03-23,168.9,169.21,165.7,166.54,3880023
2015-03-24,166.06,168.25,165.4,166.01,2555571
2015-03-25,166.0,166.79,160.57,160.62,4010098
2015-03-26,158.84,162.69,157.36,160.55,3146525
2015-03-27,161.26,163.45,161.0,162.59,2438867
2015-03-30,164.51,165.82,163.05,164.31,2388057
2015-03-31,163.32,164.09,159.72,159.85,3110965
2015-04-01,159.37,159.39,154.64,157.1,5134960
2015-04-02,157.12,158.18,155.03,155.88,3015172
2015-04-06,154.8,157.27,154.6,155.28,3185653
2015-04-07,155.62,159.47,155.28,157.28,2942591
2015-04-08,157.68,160.99,157.66,160.33,3031213
2015-04-09,161.23,161.8,159.07,161.49,2860553
2015-04-10,161.59,163.69,160.31,163.38,2407773
2015-04-13,162.82,164.72,162.34,162.49,1767653
2015-04-14,162.5,163.47,160.56,162.57,2099377
2015-04-15,163.12,165.91,162.86,165.47,3659284
2015-04-16,166.4,167.64,165.07,166.87,3085588
2015-04-17,165.0,165.5,161.72,163.58,4249688
2015-04-20,164.64,166.05,163.06,165.97,2760903
2015-04-21,167.09,168.88,167.07,168.46,3794835
2015-04-22,173.04,173.6,167.01,169.1,5352211
2015-04-23,167.94,169.55,166.58,169.17,3668072
2015-04-24,168.15,169.25,166.06,167.91,2548315
2015-04-27,168.49,168.72,161.55,162.38,4386166
2015-04-28,162.15,165.3,160.63,162.49,4262824
2015-04-29,161.28,163.46,159.53,160.98,3281784
2015-04-30,159.84,161.71,156.47,157.91,4444334
2015-05-01,159.5,161.69,158.65,160.36,3260738
2015-05-04,161.5,163.96,161.45,162.11,3496246
2015-05-05,161.31,162.19,159.24,159.44,3085976
2015-05-06,160.0,160.39,156.65,158.95,3762665
2015-05-07,159.24,159.82,157.2,157.9,4373959
2015-05-08,159.78,162.86,159.13,162.34,4664237
2015-05-11,162.31,162.99,161.0,161.05,2723844
2015-05-12,159.0,159.26,155.71,158.24,4359734
2015-05-13,159.74,161.24,157.65,158.39,2726993
2015-05-14,159.9,162.16,158.19,161.98,2717473
2015-05-15,163.27,163.63,161.68,162.36,2385315
2015-05-18,161.7,163.9,161.27,163.44,2154027
2015-05-19,163.86,164.12,162.46,163.56,1747501
2015-05-20,163.97,165.59,162.4,163.98,2027270
2015-05-21,163.52,164.73,162.82,163.84,2156599
2015-05-22,163.58,164.57,163.03,163.58,1636048
2015-05-26,160.65,162.46,158.0,159.01,4078264
2015-05-27,159.96,161.0,159.28,160.44,3336336
2015-05-28,159.6,159.6,155.83,157.35,4205346
2015-05-29,156.79,157.97,155.58,156.26,4414342
2015-06-01,157.59,158.0,155.5,157.03,2850072
2015-06-02,156.88,157.97,154.8,156.44,2497226
2015-06-03,157.45,157.86,156.4,157.13,2160452
2015-06-04,156.6,158.47,156.3,158.09,3917696
2015-06-05,158.5,159.4,156.03,157.25,3431708
2015-06-08,157.3,158.47,155.63,156.47,2082834
2015-06-09,156.55,157.11,153.91,154.8,2766040
2015-06-10,153.4,155.88,150.85,155.55,5972768
2015-06-11,157.91,158.97,156.44,157.96,3633420
2015-06-12,157.23,157.74,155.01,156.12,2398104
2015-06-15,154.75,156.37,153.57,156.1,2585201
2015-06-16,155.81,156.81,155.09,156.23,1723290
2015-06-17,156.86,156.98,154.88,155.65,3008596
2015-06-18,156.33,160.77,156.31,160.12,3454480
2015-06-19,160.13,162.23,159.77,160.72,5182010
2015-06-22,161.62,163.26,161.45,162.22,1926583
2015-06-23,163.45,163.5,161.04,161.69,2451849
2015-06-24,161.53,161.84,159.28,159.89,2522641
2015-06-25,160.82,160.84,158.02,158.76,2411361
2015-06-26,159.41,159.79,157.23,158.02,3537850
2015-06-29,156.63,157.96,151.43,151.6,4784789
2015-06-30,153.24,154.22,151.51,153.52,3893262
2015-07-01,154.94,155.75,153.43,154.99,2299713
2015-07-02,155.15,155.57,153.01,153.26,2120917
2015-07-06,152.14,156.07,151.89,154.5,2773542
2015-07-07,155.25,155.7,152.18,155.39,2253152
2015-07-08,154.11,154.85,151.93,152.31,2393530
2015-07-09,152.44,153.9,151.04,151.31,4146310
2015-07-10,153.99,154.53,152.49,154.1,3976574
2015-07-13,155.28,156.56,154.92,155.76,1803358
2015-07-14,156.34,160.31,155.76,159.32,3624754
2015-07-15,160.46,162.55,159.58,160.45,2618632
2015-07-16,161.73,163.75,161.07,163.04,2487454
2015-07-17,163.05,163.5,160.6,163.27,3248495
2015-07-20,163.56,165.4,162.89,164.34,2692440
2015-07-21,164.72,165.32,162.37,163.7,2690027
2015-07-22,161.47,164.68,161.47,164.25,2106886
2015-07-23,165.0,165.12,162.79,164.1,1716252
2015-07-24,162.11,163.73,157.21,158.59,4410702
2015-07-27,159.37,165.94,159.16,165.54,5757194
2015-07-28,166.12,174.8,166.12,172.74,8553618
2015-07-29,172.92,173.68,169.12,171.47,5112263
2015-07-30,170.09,172.48,168.21,171.69,4044084
2015-07-31,177.5,181.81,176.0,176.59,7289406
2015-08-03,176.8,177.05,174.02,175.59,2922630
2015-08-04,175.79,176.22,173.62,174.8,2474168
2015-08-05,175.53,177.52,175.38,176.44,2147219
2015-08-06,176.94,176.96,168.25,169.66,3775366
2015-08-07,169.67,172.47,166.4,172.31,4156048
2015-08-10,172.9,174.69,170.45,170.6,2729637
2015-08-11,169.67,169.73,166.89,168.56,2924945
2015-08-12,167.69,171.19,164.62,170.62,4489673
2015-08-13,170.5,170.99,168.03,168.58,1896967
2015-08-14,168.09,169.63,166.66,167.72,2704962
2015-08-17,167.05,169.89,166.0,169.79,1988820
2015-08-18,170.01,170.24,167.1,167.72,2273422
2015-08-19,166.82,167.72,164.45,166.57,3139817
2015-08-20,164.33,165.5,161.03,161.15,3491750
2015-08-21,158.97,163.92,155.19,155.19,6208363
2015-08-24,145.33,154.42,140.0,147.64,8697534
2015-08-25,152.5,153.88,144.88,145.19,6701140
2015-08-26,151.23,154.11,147.13,153.98,5251323
2015-08-27,154.88,157.1,151.36,155.72,4910546
2015-08-28,156.38,158.0,153.71,155.89,4649319
2015-08-31,155.33,156.35,151.3,151.78,4354480
2015-09-01,149.23,150.99,146.95,147.46,5523008
2015-09-02,149.07,152.35,147.25,152.29,4339136
2015-09-03,152.68,154.12,148.93,149.23,2868358
2015-09-04,147.49,148.96,145.75,147.02,3363026
2015-09-08,151.6,154.66,151.0,154.56,4508391
2015-09-09,156.19,156.76,150.62,151.08,2987550
2015-09-10,150.84,154.32,150.56,153.14,3477927
2015-09-11,152.05,153.45,150.93,153.21,2422668
2015-09-14,153.89,153.89,150.05,151.0,2896193
2015-09-15,152.02,152.79,150.24,152.14,2560175
2015-09-16,151.97,152.88,148.47,151.18,4004166
2015-09-17,151.7,156.34,151.0,153.91,3519484
2015-09-18,151.12,153.37,149.03,150.59,6487261
2015-09-21,151.97,152.8,146.32,147.09,4702605
2015-09-22,145.0,146.78,142.82,145.93,4517997
2015-09-23,146.08,147.04,144.03,145.72,2785437
2015-09-24,144.72,145.63,141.36,143.51,3519203
2015-09-25,146.06,146.75,136.76,138.53,5243651
2015-09-28,137.99,138.19,130.09,132.24,7514735
2015-09-29,132.0,138.0,131.43,133.82,6251518
2015-09-30,136.66,139.25,135.86,138.32,6209501
2015-10-01,138.55,140.64,136.6,140.23,4675914
2015-10-02,138.26,142.54,135.64,142.47,4803545
2015-10-05,144.0,144.91,142.22,143.8,4367055
2015-10-06,142.12,143.37,138.06,141.22,4818610
2015-10-07,142.65,148.31,140.24,148.05,8002411
2015-10-08,147.68,150.99,145.03,149.9,6638477
2015-10-09,149.25,150.75,148.01,149.59,3080855
2015-10-12,152.78,155.12,151.63,153.03,5472951
2015-10-13,151.54,152.98,147.44,147.58,4143894
2015-10-14,148.38,150.93,147.13,147.81,3197360
2015-10-15,147.45,152.78,146.97,152.54,3269591
2015-10-16,153.19,154.12,150.58,152.61,4793073
2015-10-19,152.61,156.14,152.46,154.47,3271670
2015-10-20,154.19,155.0,149.47,150.45,3385285
2015-10-21,152.37,152.75,147.3,150.09,3839615
2015-10-22,152.1,152.94,148.57,152.31,4079820
2015-10-23,153.61,156.2,151.86,155.75,3657328
2015-10-26,156.0,159.91,154.65,158.58,4346594
2015-10-27,158.58,162.12,157.83,161.98,3877225
2015-10-28,162.72,162.87,158.73,162.67,4878877
2015-10-29,164.99,165.0,158.94,160.58,4870231
2015-10-30,161.06,162.0,158.13,158.18,4589730
2015-11-02,159.01,162.75,158.37,162.31,3222477
2015-11-03,160.97,163.15,160.5,162.46,2411470
2015-11-04,162.85,163.99,160.77,161.88,3059482
2015-11-05,162.2,162.48,158.83,161.22,2202433
2015-11-06,160.87,160.87,156.84,160.46,3343956
2015-11-09,159.75,160.61,158.32,159.63,2722232
2015-11-10,160.25,161.17,158.05,158.37,2871340
2015-11-11,159.26,159.57,156.76,156.86,1923926
2015-11-12,155.94,157.7,150.82,150.98,4767155
2015-11-13,150.68,153.52,148.0,151.55,3855017
2015-11-16,152.02,154.78,151.1,154.5,2443154
2015-11-17,154.91,159.13,153.7,157.6,3644347
2015-11-18,158.11,161.12,156.35,160.92,2975793
2015-11-19,159.89,161.52,158.83,159.49,2040962
2015-11-20,160.74,161.34,159.55,159.91,2728011
2015-11-23,159.63,163.13,159.63,162.47,4169261
2015-11-24,161.01,163.34,161.0,162.78,3687015
2015-11-25,163.05,164.59,162.71,163.95,2134543
2015-11-27,164.76,165.0,163.14,163.52,1052359
2015-11-30,163.49,164.0,160.36,161.1,2982554
2015-12-01,162.71,163.43,160.52,161.98,2429007
2015-12-02,161.62,162.39,160.1,160.52,2871582
2015-12-03,160.27,160.52,153.71,154.65,4468642
2015-12-04,154.96,161.95,154.95,161.43,3920918
2015-12-07,162.91,162.97,157.54,158.3,3566656
2015-12-08,156.61,160.67,156.04,159.35,2249241
2015-12-09,158.35,159.81,156.12,157.89,2995578
2015-12-10,158.97,160.85,157.0,159.67,2813993
2015-12-11,157.82,158.78,154.79,155.15,3005700
2015-12-14,155.98,158.34,153.43,158.11,2801651
2015-12-15,161.65,164.45,161.56,162.62,5365581
2015-12-16,164.31,165.23,162.1,164.58,3923581
2015-12-17,164.58,164.99,159.81,161.43,3699409
2015-12-18,160.5,161.82,158.62,158.8,6227035
2015-12-21,159.88,160.38,157.38,159.28,3818946
2015-12-22,160.5,163.37,160.04,162.3,3125525
2015-12-23,163.03,163.5,161.65,162.72,2202121
2015-12-24,163.7,164.36,162.22,163.55,943079
2015-12-28,162.91,163.13,160.6,161.73,1513475
2015-12-29,162.92,164.96,162.05,164.44,2171077
2015-12-30,164.63,164.75,162.91,163.29,1493359
2015-12-31,162.15,164.11,162.05,162.33,1775906
2016-01-04,159.0,159.22,156.09,158.34,5083228
2016-01-05,159.0,160.21,157.25,158.17,2678936
2016-01-06,155.01,157.93,154.9,156.72,3826922
2016-01-07,153.06,156.45,152.89,152.98,4162456
2016-01-08,153.12,154.86,150.46,150.71,4179560
2016-01-11,151.33,151.59,144.17,147.69,4747429
2016-01-12,148.43,151.24,146.92,150.79,4410621
2016-01-13,151.14,152.83,145.28,145.46,3982146
2016-01-14,146.02,155.3,144.57,153.16,5648973
2016-01-15,147.69,152.3,147.69,151.3,6213015
2016-01-19,153.45,154.62,148.23,151.3,4382191
2016-01-20,149.0,156.84,148.05,155.02,7338628
2016-01-21,154.75,155.02,150.24,152.78,4674002
2016-01-22,156.45,156.96,154.24,156.08,4577287
2016-01-25,156.18,158.0,153.0,153.43,4765120
2016-01-26,152.78,155.23,151.09,153.78,3645490
2016-01-27,154.89,154.89,148.87,150.47,3752333
2016-01-28,151.1,151.71,145.42,148.35,4246491
2016-01-29,149.4,153.0,145.25,152.73,7174382
2016-02-01,151.31,153.72,149.34,152.75,4602164
2016-02-02,150.48,151.49,148.48,150.11,3881389
2016-02-03,150.5,151.18,147.07,150.69,4530627
2016-02-04,150.5,151.96,148.8,149.91,3685238
2016-02-05,148.93,149.39,143.69,145.04,6451924
2016-02-08,143.5,144.57,140.16,143.0,4627325
2016-02-09,141.02,145.63,140.82,143.16,4211109
2016-02-10,145.21,147.13,143.96,144.81,4273459
2016-02-11,140.76,143.49,140.04,141.46,4374353
2016-02-12,143.13,144.97,141.14,144.72,3217966
2016-02-16,146.89,148.06,145.68,147.15,3371339
2016-02-17,148.3,151.52,147.4,151.07,3811075
2016-02-18,150.79,152.36,149.08,149.3,2892146
2016-02-19,148.98,151.76,148.26,150.12,2796785
2016-02-22,148.72,149.77,146.94,148.56,4603310
2016-02-23,148.15,149.72,146.86,147.26,3315190
2016-02-24,145.5,147.27,143.91,147.11,3316105
2016-02-25,147.36,148.39,145.26,146.75,3446824
2016-02-26,148.51,149.5,146.95,147.6,3411498
2016-02-29,146.96,147.67,142.22,142.28,5193833
2016-03-01,144.3,148.45,142.28,148.39,4477712
2016-03-02,148.0,148.63,146.21,147.49,3690307
2016-03-03,147.22,147.29,145.32,145.84,2989489
2016-03-04,147.03,147.3,144.54,145.98,3471394
2016-03-07,144.98,147.87,144.76,147.31,3283846
2016-03-08,146.89,147.0,144.32,144.63,3064070
2016-03-09,144.0,144.08,139.91,140.9,6075415
2016-03-10,142.06,143.48,139.02,141.03,4573465
2016-03-11,142.95,144.99,142.17,144.57,4861709
2016-03-14,143.86,145.31,143.19,144.62,3013754
2016-03-15,144.84,145.3,142.8,143.21,3034212
2016-03-16,143.0,147.0,141.93,143.98,6104692
2016-03-17,143.72,145.8,141.84,144.13,4899686
2016-03-18,144.97,146.4,142.51,145.51,6802568
2016-03-21,145.3,147.95,145.02,147.01,3177612
2016-03-22,147.05,150.99,146.83,150.62,4213919
2016-03-23,150.31,151.91,148.14,148.76,3107554
2016-03-24,148.76,150.95,147.6,149.24,3025752
2016-03-28,149.32,150.36,147.32,148.37,2110955
2016-03-29,148.46,149.69,146.8,149.49,2735686
2016-03-30,149.61,150.88,148.3,149.48,2324509
2016-03-31,149.33,150.96,149.13,149.93,2799598
2016-04-01,150.02,154.44,149.1,154.16,3972212
2016-04-04,154.0,155.96,153.7,154.66,2314237
2016-04-05,153.68,155.16,152.62,152.95,2604766
2016-04-06,154.24,159.85,153.52,159.66,4067029
2016-04-07,159.05,159.98,156.57,157.38,3363896
2016-04-08,158.24,159.0,155.42,156.46,2522139
2016-04-11,156.4,157.75,155.28,156.39,2732781
2016-04-12,156.14,159.2,156.11,158.6,2763431
2016-04-13,159.02,160.89,158.23,160.06,3860554
2016-04-14,159.81,160.77,159.37,160.12,2406821
2016-04-15,160.15,160.39,158.46,160.13,2824303
2016-04-18,159.49,162.1,159.4,161.7,2081057
2016-04-19,160.8,162.5,160.34,162.1,2692986
2016-04-20,163.02,163.84,161.8,162.76,2374393
2016-04-21,162.44,164.54,162.03,164.35,2348393
2016-04-22,164.52,164.7,162.18,163.19,2757177
2016-04-25,163.15,163.75,162.24,163.46,1596314
2016-04-26,163.39,163.91,162.02,162.85,2156564
2016-04-27,162.72,162.9,160.5,161.0,2729473
2016-04-28,160.22,163.68,159.36,160.56,3354062
2016-04-29,159.39,161.92,156.38,158.3,5386570
2016-05-02,158.62,159.42,157.21,158.99,2433704
2016-05-03,158.37,158.46,156.0,156.35,2862931
2016-05-04,155.28,155.86,153.53,154.18,3048430
2016-05-05,154.13,156.21,153.36,154.25,2325354
2016-05-06,153.49,154.45,151.36,153.19,3004825
2016-05-09,153.7,156.08,153.02,155.41,2990103
2016-05-10,155.95,157.5,154.95,157.24,2585002
2016-05-11,157.73,158.25,154.09,154.18,2741833
2016-05-12,154.68,155.0,151.97,152.9,2981649
2016-05-13,151.22,154.08,151.22,152.35,2451164
2016-05-16,152.35,153.86,151.7,153.27,2415093
2016-05-17,152.45,152.91,149.44,150.11,4486459
2016-05-18,149.91,151.43,149.21,150.83,3234477
2016-05-19,149.45,150.23,147.12,148.67,3023612
2016-05-20,148.92,151.71,148.65,150.18,3076109
2016-05-23,150.04,150.75,149.15,149.3,1543433
2016-05-24,150.71,152.94,150.39,152.72,2580981
2016-05-25,153.54,155.84,153.15,155.57,3053390
2016-05-26,154.92,156.28,154.55,155.55,1808633
2016-05-27,156.2,156.88,155.11,156.74,1364204
2016-05-31,157.42,158.43,156.86,157.95,3204387
2016-06-01,157.61,158.84,156.67,158.05,1717157
2016-06-02,158.23,159.87,157.95,159.87,2386956
2016-06-03,159.86,159.99,156.82,159.19,2149342
2016-06-06,159.58,160.75,158.89,160.19,1897638
2016-06-07,159.13,159.64,158.28,158.89,1896652
2016-06-08,158.48,158.94,157.54,158.0,2475994
2016-06-09,157.76,158.98,156.0,156.78,2383214
2016-06-10,155.26,156.32,153.64,154.78,2626053
2016-06-13,155.06,156.12,152.99,153.08,2340347
2016-06-14,152.74,153.48,151.64,152.99,2115240
2016-06-15,153.13,154.08,151.82,151.9,2443679
2016-06-16,151.68,152.9,150.7,152.3,2322388
2016-06-17,152.61,152.76,149.55,149.62,4682336
2016-06-20,151.79,152.69,150.37,150.65,3250483
2016-06-21,151.14,151.47,148.5,149.42,2622241
2016-06-22,149.08,152.18,149.0,149.81,4470133
2016-06-23,151.21,152.4,150.63,152.27,3000423
2016-06-24,147.2,149.3,146.03,146.45,4919244
2016-06-27,146.16,147.07,143.82,144.58,4208811
2016-06-28,145.89,148.42,145.6,148.42,4348004
2016-06-29,149.11,150.75,148.63,150.1,3771073
2016-06-30,150.83,152.43,149.83,152.15,3480735
2016-07-01,152.43,154.95,152.25,154.28,2758071
2016-07-05,154.29,154.94,153.38,154.27,2349082
2016-07-06,153.44,156.82,152.95,156.05,3833950
2016-07-07,155.86,156.76,155.25,156.59,2437062
2016-07-08,157.62,161.11,156.2,161.1,3741504
2016-07-11,161.36,162.32,160.0,160.18,2464686
2016-07-12,160.62,162.28,160.51,161.96,2407151
2016-07-13,162.64,162.66,160.31,160.52,2691810
2016-07-14,162.0,162.99,160.74,162.74,2444804
2016-07-15,163.45,164.57,161.56,163.28,3179693
2016-07-18,163.82,164.0,162.79,162.93,1815610
2016-07-19,163.2,164.71,161.94,162.49,2249524
2016-07-20,162.45,163.65,161.82,163.25,2161425
2016-07-21,163.39,164.26,162.71,164.19,1971762
2016-07-22,164.78,166.33,164.0,165.67,2500362
2016-07-25,165.7,166.95,164.07,166.56,2704894
2016-07-26,165.89,168.05,165.77,167.67,2883618
2016-07-27,167.45,171.09,167.44,170.68,4200156
2016-07-28,168.93,171.8,166.51,171.28,5192503
2016-07-29,171.57,172.26,170.53,172.03,3121594
2016-08-01,172.91,174.98,172.28,174.16,3571929
2016-08-02,175.05,176.5,173.17,174.15,6588988
2016-08-03,173.74,174.39,172.28,173.43,3911777
2016-08-04,173.3,173.67,172.04,172.67,2122162
2016-08-05,173.35,174.52,172.51,173.66,2228857
2016-08-08,173.31,174.16,171.83,172.34,2706525
2016-08-09,172.66,173.3,171.68,172.08,2094672
2016-08-10,171.89,172.2,170.71,171.23,2476560
2016-08-11,172.24,172.78,171.05,172.43,2142821
2016-08-12,171.24,173.15,170.68,173.02,1863171
2016-08-15,171.48,174.72,171.48,174.58,2784334
2016-08-16,174.54,174.91,172.07,172.16,2622818
2016-08-17,172.01,174.5,171.68,174.31,2580941
2016-08-18,174.43,176.64,173.57,174.75,3422571
2016-08-19,174.1,174.96,172.26,173.62,2696372
2016-08-22,173.74,175.18,173.22,174.35,2603742
2016-08-23,174.44,175.99,173.66,174.4,2376537
2016-08-24,174.0,174.87,170.28,170.84,3054987
2016-08-25,169.92,171.46,168.76,170.23,2623837
2016-08-26,170.8,172.99,169.77,171.97,2925290
2016-08-29,172.37,172.5,171.12,171.51,2512225
2016-08-30,171.16,171.94,170.12,170.76,1803720
2016-08-31,170.73,171.39,169.82,170.06,2936441
2016-09-01,170.55,170.56,168.62,170.13,1876141
2016-09-02,170.55,171.05,168.91,169.77,2083804
2016-09-06,169.85,171.77,169.39,170.84,1919702
2016-09-07,169.78,171.44,169.2,170.63,2013680
2016-09-08,170.07,171.36,169.73,170.97,2611176
2016-09-09,169.69,169.76,166.53,166.55,3131402
2016-09-12,166.08,172.58,165.93,172.04,4451546
2016-09-13,171.24,171.5,167.81,169.3,3162609
2016-09-14,169.65,171.77,169.5,170.14,2808627
2016-09-15,170.04,173.39,169.47,172.64,2931367
2016-09-16,172.59,173.39,171.05,172.96,4028315
2016-09-19,173.25,173.5,171.18,171.38,2226821
2016-09-20,172.94,174.26,172.46,173.38,2607730
2016-09-21,174.24,174.25,171.61,173.85,2516407
2016-09-22,174.6,175.73,173.75,175.62,2338322
2016-09-23,176.27,176.85,174.61,174.8,2238657
2016-09-26,174.22,174.45,172.83,173.53,1798462
2016-09-27,170.24,171.98,169.5,171.63,4798864
2016-09-28,172.22,172.22,169.05,169.71,3300683
2016-09-29,170.39,170.39,165.33,165.45,3803974
2016-09-30,166.38,167.72,165.27,166.81,3999620
2016-10-03,166.05,167.58,164.44,167.34,2514609
2016-10-04,167.34,168.69,167.14,167.55,2797603
2016-10-05,167.55,168.39,166.92,167.24,1953441
2016-10-06,166.33,167.79,165.79,166.9,1904070
2016-10-07,167.94,168.15,166.3,167.5,1679823
2016-10-10,168.2,168.59,167.67,168.31,1628204
2016-10-11,167.82,167.82,163.51,164.32,2761896
2016-10-12,164.32,165.59,163.61,163.88,2251091
2016-10-13,162.85,165.09,162.51,164.29,2430900
2016-10-14,165.05,165.25,161.84,161.9,2817469
2016-10-17,162.2,163.45,161.14,162.62,2348428
2016-10-18,163.74,163.86,162.75,162.8,2001839
2016-10-19,163.42,163.61,161.02,161.08,2502725
2016-10-20,161.0,163.35,161.0,161.5,2922591
2016-10-21,160.69,161.22,158.35,158.51,3540978
2016-10-24,159.36,159.7,158.24,158.76,2920217
2016-10-25,158.84,159.27,157.8,157.9,2414661
2016-10-26,158.68,160.05,158.03,158.99,2716811
2016-10-27,159.71,161.6,159.64,160.57,3366867
2016-10-28,151.69,151.76,142.64,145.18,18311555
2016-10-31,146.55,146.68,140.94,141.16,8693717
2016-11-01,141.17,142.41,139.31,140.76,5589294
2016-11-02,140.31,140.61,138.64,138.7,4622489
2016-11-03,139.7,139.77,135.0,135.22,5791248
2016-11-04,133.71,137.61,133.64,135.4,5051463
2016-11-07,137.85,140.23,137.16,139.21,5146015
2016-11-08,139.55,140.0,137.35,138.45,3668544
2016-11-09,146.75,152.85,142.75,146.42,11793445
2016-11-10,150.4,152.23,148.76,151.57,8933669
2016-11-11,150.05,150.84,146.8,149.04,5159413
2016-11-14,148.47,149.15,146.01,146.42,5059964
2016-11-15,146.87,148.46,145.01,147.06,4515112
2016-11-16,147.57,148.5,146.44,147.23,4108195
2016-11-17,147.73,148.45,146.51,147.36,3957285
2016-11-18,147.05,148.35,144.9,145.23,3764649
2016-11-21,145.99,146.17,145.11,145.55,2860513
2016-11-22,146.82,146.95,142.82,144.33,3586160
2016-11-23,142.94,145.17,142.84,145.03,3217158
2016-11-25,145.22,146.0,144.76,145.43,2004017
2016-11-28,145.25,145.92,144.5,145.07,2411697
2016-11-29,145.36,146.79,145.31,146.0,2939137
2016-11-30,145.7,146.32,144.07,144.07,4296889
2016-12-01,144.24,144.24,142.14,142.39,3893950
2016-12-02,142.29,144.91,141.5,144.01,3517303
2016-12-05,145.45,146.37,143.72,145.29,3855532
2016-12-06,145.8,145.99,144.28,145.11,2399021
2016-12-07,143.52,143.88,139.66,141.19,7031325
2016-12-08,140.83,141.1,138.83,140.59,4387570
2016-12-09,141.5,144.58,141.0,143.45,4638007
2016-12-12,142.92,146.04,142.79,145.76,3310134
2016-12-13,146.81,149.97,146.55,148.37,4308659
2016-12-14,148.16,149.55,147.42,148.69,3196690
2016-12-15,149.18,150.47,148.78,150.39,2950495
2016-12-16,150.92,151.21,148.81,149.37,6356824
2016-12-19,149.75,150.35,147.21,147.74,3013834
2016-12-20,146.82,147.99,146.47,147.22,2615588
2016-12-21,147.07,147.63,145.7,146.17,2491817
2016-12-22,146.31,146.61,145.12,146.36,1820943
2016-12-23,146.35,147.73,146.24,147.55,2169741
2016-12-27,147.77,150.11,147.77,148.36,1940952
2016-12-28,148.63,149.15,147.36,147.67,1803975
2016-12-29,147.37,148.69,147.37,147.78,1655469
2016-12-30,147.63,148.75,145.62,146.21,3193143
2017-01-03,147.86,151.0,147.12,150.73,3640901
2017-01-04,152.09,153.72,151.77,152.87,3945903
2017-01-05,152.72,153.4,151.51,152.98,3441661
2017-01-06,159.88,161.0,156.67,156.78,9899296
2017-01-09,157.01,158.95,156.63,158.84,4247693
2017-01-10,158.49,159.13,157.24,158.76,3324424
2017-01-11,159.16,159.16,154.5,156.62,4821283
2017-01-12,155.44,156.15,154.56,155.36,3234780
2017-01-13,155.28,157.21,154.89,156.12,2637514
2017-01-17,155.14,156.12,153.53,154.8,3404875
2017-01-18,155.69,155.94,154.51,155.77,2432740
2017-01-19,155.13,155.69,153.25,153.8,2572172
2017-01-20,154.71,155.35,153.82,154.67,3067372
2017-01-23,154.21,154.55,152.4,152.72,2458158
2017-01-24,152.82,153.0,150.38,151.85,3027683
2017-01-25,152.53,154.82,151.77,154.1,3482641
2017-01-26,155.0,155.8,152.9,152.98,3366902
2017-01-27,153.23,157.5,152.76,157.16,4885184
2017-01-30,157.11,157.18,153.77,154.43,3758356
2017-01-31,153.7,156.96,153.15,156.68,3351306
2017-02-01,158.59,159.75,157.05,159.67,3924817
2017-02-02,159.73,159.94,156.91,159.58,4445428
2017-02-03,166.1,167.85,164.86,167.53,7366635
2017-02-06,166.18,166.89,165.13,166.58,4389155
2017-02-07,167.0,167.72,165.6,166.82,3584279
2017-02-08,166.5,168.35,166.32,168.12,3493436
2017-02-09,165.75,167.79,165.5,167.47,4281382
2017-02-10,167.8,168.31,167.03,167.89,2931238
2017-02-13,167.72,168.26,166.68,167.66,3602846
2017-02-14,167.07,168.07,165.57,168.05,3116698
2017-02-15,167.32,172.0,167.0,171.79,4058811
2017-02-16,171.56,172.17,170.3,172.11,2660644
2017-02-17,171.35,173.36,168.89,173.29,4154875
2017-02-21,172.85,173.5,171.86,173.14,3941221
2017-02-22,172.33,174.7,171.89,172.61,2579797
2017-02-23,172.75,174.01,171.89,174.01,2191424
2017-02-24,173.29,174.72,172.48,174.56,2677307
