Date,Open,High,Low,Close,Volume
2015-02-04,100.89,101.5,100.41,100.75,2464495
2015-02-05,101.0,102.5,100.83,102.34,2555516
2015-02-06,102.25,102.86,101.44,101.75,2404731
2015-02-09,101.45,101.98,101.13,101.59,2253529
2015-02-10,102.0,102.64,101.47,102.44,1702930
2015-02-11,102.19,102.81,101.87,102.43,1924643
2015-02-12,102.66,103.71,102.65,103.5,1942140
2015-02-13,103.25,104.45,103.25,104.38,1970287
2015-02-17,104.07,104.42,103.66,104.0,2298393
2015-02-18,104.23,104.95,104.06,104.62,2267560
2015-02-19,104.27,104.99,104.02,104.7,1961666
2015-02-20,104.59,105.39,103.58,105.36,3375001
2015-02-23,105.3,105.3,104.11,104.38,3075954
2015-02-24,103.83,104.54,103.58,104.3,2352226
2015-02-25,104.1,104.82,104.07,104.39,2143299
2015-02-26,104.2,104.36,103.43,103.64,1904700
2015-02-27,103.35,103.87,102.73,102.78,2995067
2015-03-02,102.56,104.63,102.53,104.58,3190361
2015-03-03,103.88,104.4,103.6,104.04,2485237
2015-03-04,104.36,104.36,102.42,103.05,2506275
2015-03-05,103.72,103.84,103.01,103.13,2242872
2015-03-06,102.31,102.77,101.6,101.87,2468301
2015-03-09,102.15,103.5,102.0,103.14,2482900
2015-03-10,102.14,102.4,101.17,101.17,3003271
2015-03-11,101.27,101.47,100.58,100.65,2468878
2015-03-12,100.99,102.57,100.99,102.46,2604688
2015-03-13,102.37,102.45,100.3,101.17,2590479
2015-03-16,101.5,102.85,101.39,102.78,2236508
2015-03-17,102.03,102.51,101.84,102.21,1849938
2015-03-18,101.98,104.26,101.19,103.84,2958765
2015-03-19,103.27,103.59,102.47,103.02,2238108
2015-03-20,103.71,106.15,103.6,105.4,9962893
2015-03-23,105.39,105.39,103.92,104.3,4021247
2015-03-24,104.1,104.83,103.72,104.06,2399079
2015-03-25,104.41,104.41,101.92,101.93,2469046
2015-03-26,101.38,102.61,100.88,102.17,2777334
2015-03-27,102.11,103.05,102.01,102.96,3189392
2015-03-30,103.71,105.1,103.58,104.91,2585564
2015-03-31,104.25,104.82,103.79,104.31,2750989
2015-04-01,104.05,104.1,102.62,103.24,2651249
2015-04-02,103.37,104.01,102.81,103.51,2037184
2015-04-06,102.82,105.06,102.74,104.49,2198144
2015-04-07,104.36,104.85,104.13,104.13,1829911
2015-04-08,103.99,104.74,103.49,103.85,2086157
2015-04-09,103.86,104.63,103.45,104.39,1956376
2015-04-10,104.77,104.9,103.97,104.7,2107757
2015-04-13,104.31,104.65,103.28,103.28,2801858
2015-04-14,102.97,103.55,102.48,103.25,2186910
2015-04-15,103.75,104.24,103.49,103.79,2222864
2015-04-16,103.23,104.17,103.05,103.92,3360309
2015-04-17,103.01,103.34,100.86,101.7,6716311
2015-04-20,102.15,102.84,102.09,102.58,3044257
2015-04-21,102.69,102.97,101.02,101.33,3158637
2015-04-22,101.23,102.35,101.02,102.19,3329405
2015-04-23,101.98,103.44,101.72,103.01,3230534
2015-04-24,102.97,103.05,102.36,102.5,2699991
2015-04-27,102.88,103.27,102.4,102.54,1865990
2015-04-28,102.95,103.32,101.94,102.93,2105935
2015-04-29,102.25,102.84,101.54,101.74,2715924
2015-04-30,101.56,101.96,100.69,100.92,3128752
2015-05-01,101.56,102.52,101.42,102.5,2100208
2015-05-04,102.48,103.34,102.33,102.58,2382783
2015-05-05,102.52,102.88,101.28,101.54,2214769
2015-05-06,102.15,102.25,100.31,100.99,3834713
2015-05-07,100.65,101.16,100.15,101.01,4487072
2015-05-08,102.22,102.47,101.93,102.12,3955189
2015-05-11,102.98,103.39,102.56,102.69,3380891
2015-05-12,101.88,102.45,101.45,102.31,2481613
2015-05-13,103.1,105.23,103.03,104.44,4612028
2015-05-14,104.86,106.58,104.5,106.44,4946383
2015-05-15,106.67,106.92,106.08,106.85,5468210
2015-05-18,106.65,107.1,106.59,106.77,3039502
2015-05-19,106.41,106.63,105.63,105.81,2502058
2015-05-20,105.92,106.58,105.6,106.23,3377446
2015-05-21,106.28,106.8,106.08,106.36,2659730
2015-05-22,106.27,106.5,105.84,105.92,1457980
2015-05-26,105.51,105.67,104.47,104.84,2182430
2015-05-27,105.15,105.58,104.78,105.38,2091700
2015-05-28,105.35,105.77,104.82,105.69,2407204
2015-05-29,105.46,105.55,104.0,104.2,2375774
2015-06-01,104.23,104.71,103.52,104.06,2152072
2015-06-02,103.97,105.13,103.16,104.56,1954600
2015-06-03,105.0,105.39,104.3,104.98,1517008
2015-06-04,104.3,104.86,103.43,103.72,2469631
2015-06-05,103.68,104.06,103.37,103.74,1593901
2015-06-08,103.77,103.92,103.25,103.26,1472982
2015-06-09,103.33,103.99,103.23,103.56,1524179
2015-06-10,104.3,105.01,103.66,104.77,2103098
2015-06-11,105.23,105.23,104.54,104.9,1631752
2015-06-12,104.44,104.8,103.69,104.05,1249695
2015-06-15,103.18,103.66,102.33,103.44,2869411
2015-06-16,103.18,104.33,103.09,104.1,1816189
2015-06-17,104.38,104.7,103.22,104.2,2669161
2015-06-18,104.31,105.92,104.31,105.53,2227744
2015-06-19,105.22,105.89,105.1,105.34,2782794
2015-06-22,105.9,106.21,104.55,105.37,2188899
2015-06-23,105.28,105.35,104.52,104.76,1809240
2015-06-24,104.75,105.26,104.1,104.1,2298884
2015-06-25,105.07,105.07,103.22,103.36,1449591
2015-06-26,103.73,103.75,103.18,103.54,2114520
2015-06-29,102.93,103.15,101.81,101.85,2139317
2015-06-30,102.67,103.12,101.57,101.97,2195484
2015-07-01,102.98,103.48,102.48,102.84,2171453
2015-07-02,103.14,103.31,102.19,102.51,1793136
2015-07-06,101.5,102.96,101.36,102.38,2262461
2015-07-07,102.42,102.98,101.05,102.84,2365298
2015-07-08,102.0,102.39,100.75,100.97,2346225
2015-07-09,102.32,102.72,101.14,101.18,2720726
2015-07-10,101.99,102.67,101.58,102.41,2574428
2015-07-13,103.34,103.87,103.12,103.77,1608582
2015-07-14,103.72,104.41,103.4,104.08,1443184
2015-07-15,104.08,104.46,103.56,103.84,2735262
2015-07-16,104.89,104.89,103.03,103.57,4628436
2015-07-17,104.92,106.62,104.27,105.54,5442485
2015-07-20,105.7,106.79,105.53,106.37,4522601
2015-07-21,106.02,106.4,105.19,105.4,3724364
2015-07-22,105.36,105.52,104.51,104.74,3127656
2015-07-23,104.78,105.47,104.21,104.32,2369342
2015-07-24,104.17,104.52,102.3,102.77,2803327
2015-07-27,102.0,102.05,101.36,101.64,3291338
2015-07-28,102.7,104.52,102.3,104.2,3928774
2015-07-29,104.2,105.84,103.95,105.54,2572942
2015-07-30,105.02,105.77,104.62,105.38,2212355
2015-07-31,105.76,105.92,104.93,105.05,1979035
2015-08-03,105.02,105.02,103.9,104.7,2348098
2015-08-04,104.72,105.4,104.09,104.62,2875989
2015-08-05,105.5,106.27,105.25,105.73,1956048
2015-08-06,105.8,106.3,105.4,105.79,2125112
2015-08-07,105.66,105.94,104.99,105.46,1821847
2015-08-10,106.45,107.41,106.33,107.3,2215846
2015-08-11,106.11,106.46,104.51,105.37,3234406
2015-08-12,105.29,105.78,103.63,105.54,3677381
2015-08-13,104.98,105.9,104.62,105.52,2072322
2015-08-14,105.66,106.21,105.44,106.08,1577039
2015-08-17,105.56,106.35,104.71,106.28,2282090
2015-08-18,105.77,106.67,105.57,106.21,3427834
2015-08-19,105.5,105.99,104.8,105.04,2489490
2015-08-20,104.09,104.31,102.6,102.64,3997907
2015-08-21,101.87,102.05,98.85,98.88,7356089
2015-08-24,92.33,98.49,87.0,95.28,7689741
2015-08-25,98.35,98.54,93.81,93.93,6085444
2015-08-26,96.27,97.88,95.1,97.83,5264285
2015-08-27,99.14,100.5,98.37,99.89,5035213
2015-08-28,99.52,100.25,99.11,100.02,3456302
2015-08-31,99.61,100.38,99.1,99.27,4241766
2015-09-01,96.98,97.44,95.42,95.96,4275908
2015-09-02,97.03,98.01,96.51,98.01,3819142
2015-09-03,98.52,99.66,98.37,98.57,3124310
2015-09-04,97.31,97.7,96.06,96.59,3653751
2015-09-08,98.81,99.82,98.39,99.81,3714953
2015-09-09,100.44,101.02,98.64,98.86,3293490
2015-09-10,98.72,100.15,98.26,99.55,3523961
2015-09-11,99.47,99.64,98.43,99.62,2556996
2015-09-14,100.01,100.01,98.93,99.22,2504483
2015-09-15,99.64,100.74,99.28,100.32,2997930
2015-09-16,100.69,101.13,100.38,100.96,3244243
2015-09-17,100.93,102.29,100.31,100.53,2701359
2015-09-18,99.29,99.36,97.75,98.04,4900699
2015-09-21,98.18,98.59,97.2,97.74,2683371
2015-09-22,96.28,96.4,95.22,96.04,4581484
2015-09-23,96.22,96.45,94.13,94.59,5715895
2015-09-24,93.65,93.95,91.74,93.62,5575359
2015-09-25,94.76,94.79,93.04,93.52,3898547
2015-09-28,92.83,93.39,91.57,91.59,4362902
2015-09-29,91.97,93.1,91.71,92.52,3452647
2015-09-30,93.65,94.84,93.48,94.69,4398166
2015-10-01,94.74,96.08,93.6,94.71,3315389
2015-10-02,93.37,96.61,93.01,96.54,3817534
2015-10-05,97.08,98.93,96.9,98.38,3706487
2015-10-06,98.38,99.08,98.15,98.21,2605829
2015-10-07,99.03,100.35,98.76,99.49,2983174
2015-10-08,99.07,101.4,99.03,101.07,3084548
2015-10-09,101.12,102.11,101.01,101.16,3311469
2015-10-12,101.29,101.68,100.84,101.5,1762118
2015-10-13,100.68,101.09,99.72,99.82,3660248
2015-10-14,99.86,100.0,98.24,98.26,3551091
2015-10-15,98.83,98.83,97.41,98.5,6018155
2015-10-16,100.0,100.85,95.33,97.03,12646102
2015-10-19,96.79,97.53,96.5,97.18,5948137
2015-10-20,97.2,98.84,97.2,98.28,4649258
2015-10-21,98.87,99.91,98.23,98.77,3640999
2015-10-22,99.27,102.9,99.27,102.58,4416194
2015-10-23,103.31,103.8,102.09,103.13,4108784
2015-10-26,103.42,103.42,102.55,102.78,1901853
2015-10-27,102.58,102.99,102.03,102.45,2452451
2015-10-28,102.51,103.65,102.21,103.58,2516035
2015-10-29,103.24,103.84,102.33,102.94,3129146
2015-10-30,103.29,104.0,102.94,103.28,2923259
2015-11-02,103.27,104.35,103.0,104.18,2450475
2015-11-03,103.97,104.21,103.39,103.65,2466438
2015-11-04,103.69,104.22,103.21,103.37,1940602
2015-11-05,103.38,103.92,102.86,103.6,2224536
2015-11-06,102.87,104.0,102.61,104.0,2456134
2015-11-09,103.35,103.62,102.02,102.71,3274464
2015-11-10,102.27,102.86,101.31,102.4,2757440
2015-11-11,102.88,104.13,102.45,103.26,2306258
2015-11-12,102.46,102.64,101.63,101.97,3478172
2015-11-13,101.75,102.51,100.79,101.08,2446173
2015-11-16,101.08,102.99,100.96,102.96,2297976
2015-11-17,103.18,103.18,101.94,102.29,2424005
2015-11-18,102.62,104.15,102.42,104.06,2535792
2015-11-19,104.26,105.18,104.07,105.04,3408742
2015-11-20,105.39,106.14,105.35,105.63,2562006
2015-11-23,105.56,105.93,103.84,104.59,3134552
2015-11-24,103.3,103.8,102.09,103.17,5749398
2015-11-25,103.48,103.91,102.91,103.63,3725060
2015-11-27,103.66,104.4,103.43,104.06,1144656
2015-11-30,104.3,104.54,103.82,103.95,2894489
2015-12-01,103.9,105.27,103.77,104.15,3264558
2015-12-02,103.91,104.29,102.92,103.1,2482890
2015-12-03,103.41,103.68,101.86,102.4,2702815
2015-12-04,102.78,104.71,102.41,104.55,3552293
2015-12-07,104.55,104.85,103.61,104.18,2298449
2015-12-08,103.03,103.56,102.39,102.66,2711874
2015-12-09,102.1,103.55,101.41,101.89,2464636
2015-12-10,102.16,102.34,101.3,101.76,2812836
2015-12-11,100.27,100.99,97.91,98.23,5553724
2015-12-14,98.34,99.06,97.66,98.98,5761245
2015-12-15,99.43,99.95,98.38,98.47,5086055
2015-12-16,101.73,104.4,101.3,104.08,7361232
2015-12-17,104.2,104.53,102.26,102.31,3747074
2015-12-18,102.09,102.99,101.45,101.83,5489029
2015-12-21,102.72,103.75,101.93,102.6,3062604
2015-12-22,102.93,104.47,102.51,104.16,2552226
2015-12-23,104.69,105.32,104.23,104.96,3650299
2015-12-24,104.87,104.99,104.48,104.65,793858
2015-12-28,104.23,104.62,103.83,104.33,1435086
2015-12-29,105.2,105.72,104.24,105.34,2013709
2015-12-30,105.4,105.44,104.19,104.46,2225209
2015-12-31,104.07,104.58,103.48,103.57,2079409
2016-01-04,101.62,102.64,100.99,102.57,3340979
2016-01-05,102.64,103.59,102.27,103.41,2553659
2016-01-06,102.14,102.5,101.48,102.24,2321637
2016-01-07,100.54,101.11,98.71,99.23,3420518
2016-01-08,99.92,100.34,98.18,98.43,4027218
2016-01-11,98.82,99.42,97.44,98.42,3130699
2016-01-12,99.24,99.59,97.83,99.17,3146672
2016-01-13,99.75,99.9,96.72,97.1,2983331
2016-01-14,97.34,99.48,96.52,98.74,5454045
2016-01-15,96.31,97.59,95.9,97.26,4814522
2016-01-19,98.42,98.55,96.21,97.33,3735893
2016-01-20,95.49,96.89,93.71,96.24,4965520
2016-01-21,96.82,97.64,95.89,96.58,3042397
2016-01-22,98.14,98.53,96.77,97.82,3190325
2016-01-25,97.58,97.72,96.37,96.48,2431821
2016-01-26,96.75,98.64,96.39,98.51,3257783
2016-01-27,97.77,98.78,96.32,96.96,5060249
2016-01-28,97.92,98.55,97.1,97.97,4499433
2016-01-29,100.99,103.43,99.88,103.2,6639924
2016-02-01,102.2,103.2,100.68,102.88,5394299
2016-02-02,101.8,101.8,100.09,100.66,3816291
2016-02-03,101.45,102.28,99.42,102.16,3758733
2016-02-04,101.69,103.72,101.62,102.55,5039900
2016-02-05,102.66,102.76,101.22,102.13,3669710
2016-02-08,101.0,101.64,99.88,101.53,3449926
2016-02-09,100.24,103.55,100.24,102.72,3707456
2016-02-10,103.14,104.57,102.47,102.6,4040779
2016-02-11,100.41,102.31,99.93,101.54,5051314
2016-02-12,102.68,103.78,101.9,103.48,4443765
2016-02-16,104.47,106.0,104.16,104.95,5281832
2016-02-17,105.39,106.6,105.27,106.13,6038313
2016-02-18,105.93,107.06,105.73,106.47,4095352
2016-02-19,106.14,107.52,105.4,107.27,4425047
2016-02-22,108.0,111.86,104.65,105.17,15118112
2016-02-23,104.31,105.8,103.17,103.64,7837358
2016-02-24,102.33,103.73,101.25,103.3,6761998
2016-02-25,103.62,104.26,103.04,104.19,4840670
2016-02-26,104.09,104.53,102.71,103.03,7908351
2016-02-29,102.59,103.49,101.28,101.35,5571647
2016-03-01,103.61,105.87,103.3,105.87,8222394
2016-03-02,105.8,107.66,105.38,106.49,4202895
2016-03-03,106.6,108.21,106.2,107.98,5307699
2016-03-04,107.85,108.94,107.66,108.15,2950184
2016-03-07,107.82,108.24,106.61,107.47,3882945
2016-03-08,106.5,107.77,106.09,107.58,3109726
2016-03-09,107.78,108.95,107.76,108.93,3562256
2016-03-10,109.05,109.33,107.27,108.36,3139296
2016-03-11,109.61,109.89,108.64,109.03,2798153
2016-03-14,108.71,109.49,108.5,108.51,2784737
2016-03-15,107.78,108.78,107.58,108.68,2021387
2016-03-16,108.59,109.66,108.1,109.23,2653039
2016-03-17,109.67,111.35,108.58,111.02,4211355
2016-03-18,111.59,112.14,110.98,112.1,5403214
2016-03-21,111.74,112.78,111.56,112.68,2893019
2016-03-22,111.98,113.47,111.83,112.98,3119215
2016-03-23,112.47,112.73,111.93,112.21,2201370
2016-03-24,111.41,111.98,111.0,111.32,2367459
2016-03-28,111.52,111.87,111.08,111.6,2134100
2016-03-29,111.2,112.19,110.38,111.9,2469584
2016-03-30,113.02,113.02,111.92,112.17,2220061
2016-03-31,112.11,112.52,111.14,112.05,2498913
2016-04-01,111.5,113.45,110.83,113.23,2363210
2016-04-04,113.42,113.42,112.21,112.55,2324981
2016-04-05,111.96,112.47,111.33,111.78,3321659
2016-04-06,111.81,113.2,111.27,113.06,2509973
2016-04-07,112.57,112.61,111.37,111.67,2751117
2016-04-08,112.08,112.99,111.69,112.12,2072344
2016-04-11,112.41,112.87,111.9,111.94,2154608
2016-04-12,112.09,113.35,112.0,113.03,2140308
2016-04-13,113.93,114.95,113.44,114.74,3457805
2016-04-14,114.99,114.99,114.19,114.52,1766510
2016-04-15,114.42,114.9,114.05,114.63,2093438
2016-04-18,114.6,115.52,114.12,115.46,2586658
2016-04-19,115.89,116.56,115.33,115.8,2207543
2016-04-20,115.94,115.99,114.9,115.18,2562875
2016-04-21,115.31,116.19,114.71,114.92,2865599
2016-04-22,114.0,115.59,112.34,114.17,4900252
2016-04-25,114.0,115.0,112.61,113.25,3662366
2016-04-26,113.62,114.95,113.62,114.8,2965715
2016-04-27,114.86,115.95,114.42,115.44,3265274
2016-04-28,115.12,116.52,114.22,114.62,2988785
2016-04-29,114.41,115.01,113.69,114.27,2719446
2016-05-02,114.46,114.87,113.83,114.67,3054128
2016-05-03,113.8,114.94,113.68,114.51,2628762
2016-05-04,113.65,113.98,112.65,112.93,3238737
2016-05-05,113.28,114.05,113.05,113.62,2999394
2016-05-06,113.58,114.0,112.91,113.78,3352023
2016-05-09,113.67,114.0,112.98,113.16,2672829
2016-05-10,113.94,115.5,113.25,114.94,2870638
2016-05-11,115.0,115.31,113.96,114.11,1718568
2016-05-12,114.54,114.79,113.51,114.19,2365190
2016-05-13,114.12,114.5,112.86,113.2,2512985
2016-05-16,113.62,115.13,112.99,114.84,2397580
2016-05-17,114.1,114.49,113.04,113.63,2496200
2016-05-18,113.16,113.8,112.11,112.69,2475978
2016-05-19,112.01,112.56,110.72,112.32,3026116
2016-05-20,112.72,114.09,112.72,113.22,3985634
2016-05-23,113.09,113.39,112.59,112.8,1699785
2016-05-24,113.1,114.71,113.01,114.37,2087639
2016-05-25,114.59,115.25,114.43,114.72,1590293
2016-05-26,114.72,115.28,113.8,114.19,2022650
2016-05-27,114.47,114.6,113.9,114.33,1762578
2016-05-31,114.28,114.59,113.38,113.83,2980502
2016-06-01,113.89,114.14,112.46,113.94,2228713
2016-06-02,114.05,114.53,113.54,114.53,2141404
2016-06-03,114.75,114.98,113.73,114.79,2149357
2016-06-06,114.98,115.77,114.76,115.54,1872037
2016-06-07,115.54,115.88,115.33,115.35,2002504
2016-06-08,115.51,116.39,115.3,116.07,2450057
2016-06-09,115.57,117.3,115.44,117.21,2657639
2016-06-10,117.51,117.51,116.22,116.68,3245312
2016-06-13,116.61,116.64,115.06,115.13,2417609
2016-06-14,115.06,115.59,114.56,115.51,2054222
2016-06-15,115.97,116.52,115.44,115.52,2884900
2016-06-16,114.97,116.01,114.0,115.79,2144461
2016-06-17,115.92,116.16,115.17,115.92,3259022
2016-06-20,117.3,118.53,116.63,117.06,2897290
2016-06-21,117.48,117.62,116.96,117.3,2319367
2016-06-22,117.45,117.81,116.44,116.57,2195565
2016-06-23,117.51,117.7,116.64,117.32,2007486
2016-06-24,113.5,115.34,112.64,112.98,3663434
2016-06-27,112.07,112.07,110.2,111.46,3893842
2016-06-28,113.32,114.1,112.38,114.06,3644007
2016-06-29,114.36,114.96,113.18,114.46,4016716
2016-06-30,115.0,116.34,114.61,116.32,3377608
2016-07-01,116.65,117.62,116.26,116.5,2233049
2016-07-05,115.87,116.46,114.67,115.23,2416737
2016-07-06,115.48,116.86,114.41,116.82,3098165
2016-07-07,116.78,117.16,115.55,116.11,2140476
2016-07-08,117.07,118.99,116.93,118.84,2524888
2016-07-11,118.96,119.04,118.12,118.57,2968178
2016-07-12,119.01,119.71,118.78,119.02,2298394
2016-07-13,119.61,119.8,118.76,119.05,1901394
2016-07-14,119.67,120.02,118.9,119.09,2415973
2016-07-15,119.67,119.73,118.94,119.23,2254642
2016-07-18,119.23,119.25,118.68,118.89,1248002
2016-07-19,118.59,119.43,118.34,119.35,2182942
2016-07-20,119.44,120.0,119.19,119.88,2174439
2016-07-21,119.81,120.0,118.3,118.66,4131079
2016-07-22,113.65,116.0,112.7,115.61,9167374
2016-07-25,115.07,116.45,115.07,115.49,5401043
2016-07-26,115.29,115.96,114.6,115.95,3049751
2016-07-27,116.08,116.41,114.6,114.96,3446519
2016-07-28,115.0,115.92,114.24,115.76,2977486
2016-07-29,115.6,116.5,115.05,116.33,2939858
2016-08-01,115.95,116.34,115.31,115.88,2270469
2016-08-02,115.5,115.74,115.04,115.45,2092733
2016-08-03,115.46,116.12,115.13,116.01,1989588
2016-08-04,116.04,116.59,115.9,115.95,1290269
2016-08-05,116.3,116.9,115.9,116.37,2937720
2016-08-08,116.6,116.77,115.71,116.04,2009420
2016-08-09,116.23,116.58,115.92,116.26,1663711
2016-08-10,116.32,116.5,115.57,116.03,1768140
2016-08-11,116.45,116.63,116.08,116.37,1566321
2016-08-12,116.15,116.32,115.83,116.1,1364220
2016-08-15,116.5,117.02,116.03,116.84,1848097
2016-08-16,116.43,117.45,116.16,116.23,1937811
2016-08-17,115.6,115.87,115.08,115.78,1692112
2016-08-18,115.61,115.98,115.44,115.86,1776687
2016-08-19,115.47,116.25,115.47,116.11,1593511
2016-08-22,115.91,116.94,115.74,116.58,2219156
2016-08-23,116.92,117.35,116.85,117.01,1811484
2016-08-24,116.8,117.08,116.54,116.76,1728721
2016-08-25,116.64,117.23,116.37,116.77,1823607
2016-08-26,117.13,117.75,116.37,116.75,1703757
2016-08-29,116.75,117.38,116.51,117.17,2403078
2016-08-30,117.2,117.41,116.85,117.02,1946880
2016-08-31,116.96,117.13,116.41,116.71,2052672
2016-09-01,116.4,116.78,115.14,116.13,2868090
2016-09-02,116.26,116.94,115.81,116.39,2474340
2016-09-06,116.45,116.59,115.01,115.71,2194169
2016-09-07,115.52,115.73,113.73,114.24,3416196
2016-09-08,114.0,114.53,113.53,113.82,2704125
2016-09-09,112.86,113.35,111.76,112.01,4537804
2016-09-12,111.27,114.01,111.0,113.49,3809035
2016-09-13,112.83,112.97,111.29,111.6,3876828
2016-09-14,111.76,114.28,111.76,114.03,4378486
2016-09-15,113.78,115.49,113.66,115.28,3300098
2016-09-16,114.77,114.86,113.49,114.26,3917058
2016-09-19,114.87,115.68,114.46,114.54,2955798
2016-09-20,115.35,115.79,114.73,114.87,2859186
2016-09-21,114.96,115.95,114.49,115.93,2438566
2016-09-22,116.4,117.27,116.2,116.83,2896305
2016-09-23,115.31,116.4,115.27,115.98,2348311
2016-09-26,115.74,116.85,115.39,115.94,2606458
2016-09-27,115.67,116.45,115.22,116.21,3689162
2016-09-28,116.47,117.26,115.86,117.16,3331239
2016-09-29,117.72,117.72,116.14,116.19,1877042
2016-09-30,116.64,117.0,116.05,116.59,3837728
2016-10-03,115.81,116.29,115.43,116.05,2481259
2016-10-04,115.97,115.98,114.58,114.88,2522176
2016-10-05,115.1,115.82,115.1,115.26,2122923
2016-10-06,115.32,115.89,115.0,115.61,3271259
2016-10-07,107.02,107.56,105.25,106.94,20446322
2016-10-10,107.27,107.96,106.21,106.8,8423126
2016-10-11,106.43,106.43,105.26,105.78,8347150
2016-10-12,105.83,107.75,105.73,107.43,7245113
2016-10-13,106.83,108.68,106.55,108.26,5118365
2016-10-14,109.99,110.07,108.55,109.0,5307134
2016-10-17,108.86,109.4,107.96,108.04,3621559
2016-10-18,109.16,109.17,107.71,107.87,3258816
2016-10-19,108.01,108.66,107.41,108.27,3126166
2016-10-20,108.08,108.58,107.72,108.14,4080660
2016-10-21,107.96,109.6,107.51,108.96,3373386
2016-10-24,109.43,110.12,108.81,109.26,3455660
2016-10-25,109.5,109.51,108.61,109.07,3532951
2016-10-26,108.86,109.75,108.54,109.43,2133682
2016-10-27,109.76,109.89,108.42,108.83,2912052
2016-10-28,109.4,110.88,108.93,109.83,2878656
2016-10-31,109.96,110.17,109.53,109.68,2542359
2016-11-01,109.87,110.19,108.83,109.15,2931513
2016-11-02,109.39,109.39,108.01,108.46,4639498
2016-11-03,108.75,108.82,108.01,108.35,3741822
2016-11-04,108.48,109.2,108.01,108.25,3140285
2016-11-07,109.83,111.34,109.45,111.25,4672502
2016-11-08,111.0,111.51,110.51,110.62,3281938
2016-11-09,111.05,113.14,109.73,112.36,4567463
2016-11-10,113.11,114.5,112.82,113.19,6553559
2016-11-11,113.11,113.51,112.74,113.25,3295715
2016-11-14,113.62,114.36,112.84,113.04,2677070
2016-11-15,113.06,113.44,112.09,113.12,2793997
2016-11-16,112.47,112.83,111.87,112.27,2472485
2016-11-17,112.59,113.39,112.44,113.1,2195016
2016-11-18,112.98,113.0,111.89,112.09,2879131
2016-11-21,112.24,112.48,111.78,112.21,2523254
2016-11-22,112.53,112.76,112.1,112.52,2152556
2016-11-23,112.77,113.96,112.77,113.83,2630418
2016-11-25,113.92,114.36,113.52,114.17,831276
2016-11-28,114.16,114.19,113.34,113.85,2617445
2016-11-29,113.46,114.49,113.29,113.34,3334551
2016-11-30,113.73,114.74,113.28,113.94,5896813
2016-12-01,113.24,114.05,112.81,113.67,3807541
2016-12-02,113.96,114.0,112.17,112.45,3537095
2016-12-05,112.9,113.8,112.71,112.88,3026269
2016-12-06,113.34,113.66,112.66,113.07,2545556
2016-12-07,113.37,116.81,112.81,116.51,7456760
2016-12-08,116.34,117.14,114.83,115.65,5211971
2016-12-09,115.16,116.43,115.03,116.23,2915337
2016-12-12,116.4,117.41,115.68,117.41,5700171
2016-12-13,117.63,118.4,117.3,118.09,4255186
2016-12-14,117.84,118.62,116.28,116.51,4154782
2016-12-15,116.31,117.49,116.15,116.34,3984422
2016-12-16,113.64,117.58,113.6,116.38,7634326
2016-12-19,117.0,118.06,116.8,117.29,3596034
2016-12-20,117.45,118.09,117.3,117.71,2720036
2016-12-21,117.58,117.9,116.93,117.2,2750960
2016-12-22,117.34,117.5,116.61,116.92,3241353
2016-12-23,117.31,117.45,116.72,116.99,1426219
2016-12-27,117.01,117.55,116.8,117.03,1146939
2016-12-28,117.18,117.37,115.7,115.75,2599421
2016-12-29,116.12,116.58,115.8,116.0,1667306
2016-12-30,116.2,116.2,115.42,115.85,2285556
2017-01-03,116.63,116.9,115.56,116.18,3025410
2017-01-04,116.64,116.97,116.03,116.5,2941631
2017-01-05,116.53,117.46,116.22,116.76,2651057
2017-01-06,116.94,118.71,116.51,118.53,3613676
2017-01-09,118.27,118.39,117.55,117.55,3863128
2017-01-10,117.33,118.44,116.88,117.85,3752587
2017-01-11,117.54,118.12,117.13,118.01,2887068
2017-01-12,118.01,118.01,116.66,117.63,3161529
2017-01-13,117.67,118.31,117.61,118.07,2988377
2017-01-17,117.42,118.08,117.01,117.23,3360915
2017-01-18,117.52,118.3,117.21,118.06,2305900
2017-01-19,118.33,118.75,117.31,117.91,2413161
2017-01-20,118.44,118.44,117.12,117.82,2943181
2017-01-23,117.89,118.25,116.98,117.41,2273136
2017-01-24,117.64,118.08,117.27,117.96,2553983
2017-01-25,118.27,118.66,117.72,117.88,4294174
2017-01-26,117.98,118.11,117.28,117.97,6179200
2017-01-27,118.65,119.11,117.12,118.42,3873847
2017-01-30,118.09,119.12,117.76,119.11,3159974
2017-01-31,118.98,119.23,117.37,118.32,4243787
2017-02-01,118.71,118.93,117.44,118.0,2399581
2017-02-02,117.58,118.13,117.13,117.99,2213822
2017-02-03,118.52,119.36,117.91,119.19,2860415
2017-02-06,119.03,119.59,118.86,119.34,3006008
2017-02-07,119.68,120.16,119.42,119.72,2548850
2017-02-08,119.62,120.0,119.31,119.73,1824112
2017-02-09,119.69,120.97,119.64,120.66,2184755
2017-02-10,120.79,122.0,120.74,121.85,3590330
2017-02-13,122.23,123.81,122.1,123.62,4425520
2017-02-14,123.5,123.96,123.14,123.62,3111347
2017-02-15,123.36,124.47,123.17,124.28,3220467
2017-02-16,124.3,124.44,123.3,124.16,4309055
2017-02-17,123.92,124.56,123.32,124.56,2718803
2017-02-21,124.8,125.0,124.2,124.71,2369206
2017-02-22,124.01,125.07,123.52,125.04,3201035
